Time,PIR_B112,PIR_B203,PIR_B204,PIR_B201,PIR_B202,PIR_B207,PIR_B208,PIR_B205,PIR_B206,PIR_B209,CO2_B105A,CO2_B112,CO2_B203,CO2_B203A,CO2_B201,CO2_B202,CO2 _B207,CO2_B208,CO2_B205,CO2_B206,CO2_B209,CO2_B301A,CO2_B301B,light,plug,devices,groundtruth
2018-07-30 19:00,0,0,0,0,0,0,0,0,0,0,600.7326,716.9719,602.6862,618.8034,653.9683,524.5504,568.9866,649.5726,627.5946,575.8242,543.5897,682.7839,663.7363,2.71,0.43,16,6
2018-07-30 19:05,0,0,0,0,0,0,0,0,0,0,599.7558,716.9719,602.6862,618.8034,653.9683,524.5504,568.9866,649.5726,627.5946,575.8242,543.5897,676.9231,656.8986,2.77,0.42,17,2
2018-07-30 19:10,0,0,0,0,0,0,0,0,0,0,599.7558,715.0183,602.6862,618.8034,653.9683,524.5504,568.9866,649.5726,627.5946,575.8242,543.5897,676.9231,656.8986,2.75,0.4,18,2
2018-07-30 19:15,0,0,0,0,0,0,0,0,0,0,599.7558,715.9951,602.6862,618.8034,653.9683,524.5504,568.9866,649.5726,627.5946,575.8242,543.5897,676.9231,656.8986,2.75,0.41,11,2
2018-07-30 19:20,0,0,0,0,0,0,0,0,0,0,594.8718,723.8095,597.8022,614.8962,653.9683,524.5504,563.6142,645.6655,627.5946,575.8242,543.5897,669.597,651.0378,2.75,0.41,11,2
2018-07-30 19:25,0,0,0,0,0,0,0,0,0,0,594.8718,725.7631,597.8022,614.8962,652.0146,525.0305,563.6142,645.6655,627.5946,575.8242,537.7289,669.597,651.0378,2.31,0.42,10,2
2018-07-30 19:30,0,0,0,0,0,0,0,0,0,0,594.8718,731.624,597.8022,614.8962,652.0146,525.0305,563.6142,645.6655,624.8596,562.6374,537.7289,669.597,651.0378,2.31,0.4,11,1
2018-07-30 19:35,0,0,0,0,0,0,0,0,0,0,597.8022,727.7167,597.8022,614.8962,652.0146,525.0305,563.6142,645.6655,624.8596,562.6374,537.7289,660.8729,645.6655,2.04,0.4,11,1
2018-07-30 19:40,0,0,0,0,0,0,0,0,0,0,597.8022,726.7399,597.8022,614.8962,652.0146,525.0305,563.6142,645.6655,624.8596,562.6374,537.7289,660.8729,645.6655,2.03,0.41,10,1
2018-07-30 19:45,0,0,0,0,0,0,0,0,0,0,597.8022,719.9023,597.8022,614.8962,652.0146,525.0305,563.6142,645.6655,624.8596,562.6374,537.7289,660.8729,645.6655,2.04,0.4,11,1
2018-07-30 19:50,0,0,0,0,0,0,0,0,0,0,590.9646,718.9255,592.9182,610.0122,652.0146,525.0305,554.823,626.6178,624.8596,562.6374,537.7289,656.8986,641.7582,1.72,0.41,11,1
2018-07-30 19:55,0,0,0,0,0,0,0,0,0,0,590.9646,715.9951,592.9182,610.0122,643.7957,516.7277,554.823,626.6178,624.8596,562.6374,527.9609,656.8986,641.7582,1.72,0.38,11,1
2018-07-30 20:00,0,0,0,0,0,0,0,0,0,0,590.9646,715.9951,592.9182,610.0122,643.7957,516.7277,554.823,626.6178,617.8266,557.7534,527.9609,656.8986,641.7582,1.72,0.38,11,1
2018-07-30 20:05,0,0,0,0,0,0,0,0,0,0,592.9182,712.5763,592.9182,610.0122,643.7957,516.7277,554.823,626.6178,617.8266,557.7534,527.9609,655.9218,639.8046,1.71,0.39,10,1
