"Time","DC","Groundtruth"
2018-06-20 11:24:00,32,24
2018-06-20 11:29:00,34,25
2018-06-20 11:34:00,34,28
2018-06-20 11:39:00,32,28
2018-02-13 07:18:00,3,2
2018-02-13 07:23:00,4,2
2018-02-13 07:28:00,4,2
2018-02-13 07:33:00,6,2
2018-02-13 07:38:00,6,2
2018-02-13 07:43:00,6,2
2018-02-13 07:48:00,5,2
2018-02-13 07:53:00,5,2
2018-02-13 07:58:00,5,2
2018-02-13 08:03:00,6,2
2018-02-13 08:08:00,5,2
2018-02-13 08:13:00,6,3
2018-02-13 08:18:00,6,3
2018-02-13 08:23:00,7,6
2018-02-13 08:28:00,10,8
2018-02-13 08:33:00,13,13
2018-02-13 08:38:00,16,16
2018-02-13 08:43:00,21,16
2018-02-13 08:48:00,23,17
2018-02-13 08:53:00,23,19
2018-02-13 08:58:00,22,19
2018-02-13 09:03:00,24,20
2018-02-13 09:08:00,26,21
2018-02-13 09:13:00,27,21
2018-02-13 09:18:00,28,24
2018-02-13 09:23:00,30,25
2018-02-13 09:28:00,32,26
2018-02-13 09:33:00,33,27
2018-02-13 09:38:00,34,26
2018-02-13 09:43:00,34,24
2018-02-13 09:48:00,32,27
2018-02-13 09:53:00,35,26
2018-02-13 09:58:00,35,27
2018-02-13 10:03:00,35,32
2018-02-13 10:08:00,37,33
2018-02-13 10:13:00,37,34
2018-02-13 10:18:00,39,35
2018-02-13 10:23:00,39,37
2018-02-13 10:28:00,42,37
2018-02-13 10:33:00,44,39
2018-02-13 10:38:00,44,37
2018-02-13 10:43:00,46,41
2018-02-13 10:48:00,49,41
2018-02-13 10:53:00,50,36
2018-02-13 10:58:00,48,42
2018-02-13 11:03:00,49,49
2018-02-13 11:08:00,48,49
2018-02-16 07:33:00,5,3
2018-02-16 07:38:00,5,3
2018-02-16 07:43:00,5,3
2018-02-16 07:48:00,5,3
2018-02-16 07:53:00,5,3
2018-02-16 07:58:00,6,3
2018-02-16 08:03:00,7,4
2018-02-16 08:08:00,10,6
2018-02-16 08:13:00,9,8
2018-02-16 08:18:00,13,8
2018-02-16 08:23:00,13,10
2018-02-16 08:28:00,14,9
2018-02-16 08:33:00,16,11
2018-02-16 08:38:00,19,12
2018-02-16 08:43:00,20,12
2018-02-16 08:48:00,20,15
2018-02-16 08:53:00,21,17
2018-02-16 08:58:00,22,18
2018-02-16 09:03:00,22,17
2018-02-16 09:08:00,22,20
2018-02-16 09:13:00,25,21
2018-02-16 09:18:00,25,21
2018-02-16 09:23:00,30,23
2018-02-16 09:28:00,32,25
2018-02-16 09:33:00,31,26
2018-02-16 09:38:00,35,29
2018-02-16 09:43:00,35,32
2018-02-16 09:48:00,39,36
2018-02-16 09:53:00,43,39
2018-02-16 09:58:00,44,43
2018-02-16 10:03:00,50,49
2018-02-16 10:08:00,57,49
2018-02-16 10:13:00,63,51
2018-02-16 10:18:00,62,56
2018-02-16 10:23:00,63,54
2018-02-16 10:28:00,64,53
2018-02-16 10:33:00,65,52
2018-02-16 10:38:00,65,52
2018-02-16 10:43:00,62,56
2018-02-16 10:48:00,64,63
2018-02-16 10:53:00,70,61
2018-02-16 10:58:00,75,64
2018-02-16 11:03:00,76,62
