Time,PIR_A105,PIR_A001,PIR_A105A,PIR_A107,PIR_A108,PIR_A109,PIR_A000,PIR_A101,PIR_A103,PIR_A201,PIR_A202,PIR_A203,PIR_A110,PIR_A111,PIR_A112,PIR_A204,PIR_A205,PIR_A206,PIR_A208,PIR_A209,PIR_A003,PIR_A210,PIR_A212,PIR_A911,PIR_A912,PIR_A911,CO2_A105,CO2_A101,CO2_A105A,CO2_A107 ,CO2_A108,CO2_A109,CO2_A000,CO2_A101,CO2_A103,CO2_A201,CO2_A202,CO2_A203,CO2_A110,CO2_A111,CO2_A112,CO2_A204,CO2_A208,CO2_A205,CO2_A206,CO2_A207,CO2_A209,CO2_A003,CO2_A212,CO2_A210,CO2_A912,CO2_A911,light,plug,devices,groundtruth
2018-03-02 8:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,548.9622,450.7936,590.9646,532.8449,506.9597,451.7704,549.939,582.6617,568.6866,505.0061,410.7448,525.0305,466.9109,463.3805,722.8327,481.5629,589.011,463.0037,584.6154,569.9634,747.7411,546.0317,500.6105,585.5922,379.9756,540.6868,5.08,0.83,9,8
2018-03-02 9:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,541.6361,455.6776,589.011,532.8449,510.8669,458.6081,559.707,586.569,573.9706,514.7741,454.7009,527.0818,475.7021,464.3573,736.0195,484.9817,600.7326,463.0037,535.7753,576.801,737.9731,555.7997,506.9597,595.8486,379.9756,540.6868,5.07,0.83,10,5
2018-03-02 9:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,541.6361,455.6776,589.011,532.8449,510.8669,458.6081,559.707,586.569,573.9706,514.7741,454.7009,527.0818,475.7021,464.3573,736.0195,484.9817,600.7326,463.0037,535.7753,576.801,737.9731,555.7997,506.9597,595.8486,379.9756,540.6868,5.04,0.83,10,5
2018-03-02 9:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,541.6361,455.6776,589.011,532.8449,510.8669,458.6081,559.707,586.569,573.9706,514.7741,454.7009,527.0818,475.7021,464.3573,736.0195,484.9817,600.7326,463.0037,535.7753,576.801,737.9731,555.7997,506.9597,595.8486,379.9756,540.6868,5.04,0.83,9,5
2018-03-02 9:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,547.0085,457.6313,591.9634,538.7057,512.8206,454.7009,563.6142,594.8718,575.5242,515.7509,442.9792,534.7985,474.7253,477.0557,731.624,484.0049,606.5934,470.8181,535.7753,584.6154,736.0195,550.9158,512.8206,600.7326,379.9756,540.6868,5.64,0.93,11,6
2018-03-02 9:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,547.0085,457.6313,591.9634,538.7057,512.8206,454.7009,563.6142,594.8718,575.5242,515.7509,442.9792,534.7985,474.7253,477.0557,731.624,484.0049,606.5934,470.8181,535.7753,584.6154,736.0195,550.9158,512.8206,600.7326,379.9756,543.5897,5.17,0.93,12,6
2018-03-02 9:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,547.0085,457.6313,591.9634,538.7057,512.8206,454.7009,563.6142,594.8718,575.5242,515.7509,442.9792,534.7985,474.7253,477.0557,731.624,484.0049,606.5934,470.8181,535.7753,584.6154,736.0195,550.9158,512.8206,600.7326,379.9756,543.5897,5.12,0.9,12,7
2018-03-02 9:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,551.8926,457.6313,606.5934,527.9609,516.7277,452.7473,577.7778,633.9438,575.5242,513.7973,442.0024,540.6594,484.9817,479.9861,751.6483,484.0049,603.663,476.6789,539.6826,592.9182,750.6715,555.7997,603.663,607.5702,379.9756,543.5897,5.14,0.9,13,6
2018-03-02 9:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,551.8926,457.6313,606.5934,527.9609,516.7277,452.7473,577.7778,633.9438,575.5242,513.7973,442.0024,540.6594,484.9817,479.9861,751.6483,484.0049,603.663,476.6789,539.6826,592.9182,750.6715,555.7997,603.663,607.5702,379.9756,543.5897,5.1,0.9,13,7
2018-03-02 9:41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,551.8926,457.6313,606.5934,527.9609,516.7277,452.7473,577.7778,633.9438,575.5242,513.7973,442.0024,540.6594,484.9817,479.9861,751.6483,484.0049,603.663,476.6789,539.6826,592.9182,750.6715,555.7997,603.663,607.5702,379.9756,543.5897,5.21,0.9,14,7
2018-03-02 9:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,564.591,455.6776,603.663,536.7521,517.7045,470.8181,577.7778,642.735,578.4546,514.7741,437.6069,539.6826,484.9817,488.2889,745.7875,489.8657,610.0122,484.9817,542.6129,593.895,744.8107,563.6142,532.8449,615.873,379.9756,543.5897,5.15,1,14,8
2018-03-02 9:51,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,564.591,455.6776,603.663,536.7521,517.7045,470.8181,577.7778,642.735,578.4546,514.7741,437.6069,539.6826,484.9817,488.2889,745.7875,489.8657,610.0122,484.9817,542.6129,593.895,744.8107,563.6142,532.8449,615.873,379.9756,558.7576,5.08,1,16,10
2018-03-02 9:56,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,564.591,455.6776,603.663,536.7521,517.7045,470.8181,577.7778,642.735,578.4546,514.7741,437.6069,539.6826,484.9817,488.2889,745.7875,489.8657,610.0122,484.9817,542.6129,593.895,744.8107,563.6142,532.8449,615.873,379.9756,558.7576,5.1,1.03,15,12
2018-03-02 10:01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,558.7302,462.0269,614.7651,531.8681,517.7045,487.9121,595.8486,641.7582,602.3862,516.7277,436.6301,548.9622,488.8889,489.2657,750.6715,492.7961,609.0354,491.8193,549.939,607.5702,741.8803,572.8937,653.9683,614.8962,379.9756,558.7576,5.64,1.03,21,11
