Time,PIR_D102,PIR_D001,PIR_D103A,PIR_D104A,PIR_D104B,PIR_D105,PIR_D202,PIR_D203,PIR_D005,PIR_D206,PIR_D204,PIR_D207,PIR_D208,PIR_D205,PIR_D302,PIR_D301,PIR_D303,PIR_D304,PIR_D101A,CO2_D102,CO2_D001,CO2_D103A,CO2_D104A,CO2_D104B,CO2_D105,CO2_D202,CO2_D203,CO2_D005,CO2_D206,CO2_D204,CO2_D207,CO2_D302,CO2_D301,CO2_D303,CO2_D304,light,plug,devices,groundtruth
2018-06-18 17:24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,854.7009,856.6545,604.6398,680.8303,669.597,794.6276,747.7411,925.5189,866.9108,808.7913,704.7619,720.8792,646.7191,694.0171,623.7642,811.7216,5.27,0.42,42,34
2018-06-18 17:29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,854.7009,856.6545,604.6398,680.8303,669.597,794.6276,747.7411,925.5189,866.9108,808.7913,704.7619,720.8792,646.7191,694.0171,623.7642,811.7216,5.28,0.41,48,33
2018-06-18 17:34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,837.6068,811.7216,595.8486,676.9231,670.5739,757.9976,739.9267,931.3797,862.0269,800.9769,691.5751,720.8792,646.7191,677.9351,623.7642,806.8376,5.26,0.41,48,37
2018-06-18 17:39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,837.6068,811.7216,595.8486,676.9231,670.5739,757.9976,739.9267,931.3797,862.0269,800.9769,691.5751,720.8792,646.7191,677.9351,623.7642,806.8376,5.27,0.42,43,37
2018-06-18 17:44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,837.6068,811.7216,595.8486,676.9231,670.5739,757.9976,739.9267,931.3797,862.0269,800.9769,691.5751,720.8792,646.7191,677.9351,623.7642,806.8376,5.37,0.43,52,36
2018-06-18 17:49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,821.0012,887.9121,585.5922,663.7363,665.6899,781.9291,741.8803,927.961,780.9523,746.7643,693.0403,720.8792,639.8814,667.6434,623.7642,790.7204,5.37,0.4,49,49
2018-06-18 17:54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,821.0012,887.9121,585.5922,663.7363,665.6899,781.9291,741.8803,927.961,780.9523,746.7643,693.0403,704.7619,639.8814,667.6434,598.8846,790.7204,5.37,0.4,48,50
2018-06-18 17:59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,821.0012,887.9121,585.5922,663.7363,665.6899,781.9291,741.8803,927.961,780.9523,746.7643,693.0403,704.7619,639.8814,667.6434,598.8846,790.7204,5.23,0.39,48,58
2018-06-18 18:04,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,832.7228,924.0538,580.7082,668.6202,664.7131,777.0452,736.9963,936.7521,745.7875,701.8315,687.6679,704.7619,636.951,676.9231,598.8846,781.9291,5.23,0.37,64,63
2018-06-18 18:09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,832.7228,924.0538,580.7082,668.6202,664.7131,777.0452,736.9963,936.7521,745.7875,701.8315,687.6679,704.7619,636.951,676.9231,598.8846,781.9291,5.23,0.39,80,62
2018-06-18 18:14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,832.7228,924.0538,580.7082,668.6202,664.7131,777.0452,736.9963,936.7521,745.7875,701.8315,687.6679,704.7619,636.951,676.9231,598.8846,781.9291,5.15,0.44,84,64
2018-06-18 18:19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,897.6801,1017.8267,589.011,669.597,655.9218,782.9059,723.8095,939.6826,730.6472,694.9939,682.7839,704.7619,630.0958,693.0403,598.8846,788.7668,5.05,0.41,85,64
2018-06-18 18:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,897.6801,1017.8267,589.011,669.597,655.9218,782.9059,723.8095,939.6826,730.6472,694.9939,682.7839,702.8083,630.0958,693.0403,585.6689,788.7668,4.92,0.41,88,65
2018-06-18 18:29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,897.6801,1017.8267,589.011,669.597,655.9218,782.9059,723.8095,939.6826,730.6472,694.9939,682.7839,702.8083,630.0958,693.0403,585.6689,788.7668,4.77,0.43,86,64
2018-06-18 18:34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,750.6715,789.7436,589.9878,660.8058,654.9451,764.8351,725.7631,945.5434,742.8571,689.6215,683.7607,702.8083,632.067,662.7595,585.6689,749.6947,4.76,0.43,86,64
2018-06-18 18:39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,750.6715,789.7436,589.9878,660.8058,654.9451,764.8351,725.7631,945.5434,742.8571,689.6215,683.7607,702.8083,632.067,662.7595,585.6689,749.6947,4.77,0.43,87,64
2018-06-18 18:44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,750.6715,789.7436,589.9878,660.8058,654.9451,764.8351,725.7631,945.5434,742.8571,689.6215,683.7607,702.8083,632.067,662.7595,585.6689,749.6947,4.77,0.42,87,65
2018-06-18 18:49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,971.917,786.8132,590.9646,660.8058,652.0146,741.8803,723.8095,951.4042,751.6483,685.7143,685.7143,702.8083,632.067,660.8058,585.6689,716.9719,4.77,0.43,80,66
2018-06-18 18:54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,971.917,786.8132,590.9646,660.8058,652.0146,741.8803,723.8095,951.4042,751.6483,685.7143,685.7143,696.9475,632.067,660.8058,578.8314,716.9719,4.77,0.42,83,67
2018-06-18 18:59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,971.917,786.8132,590.9646,660.8058,652.0146,741.8803,723.8095,951.4042,751.6483,685.7143,685.7143,696.9475,632.067,660.8058,578.8314,716.9719,5,0.44,86,66
2018-06-18 19:04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1100.8547,1323.0769,581.685,655.9218,647.6288,752.6251,723.8095,954.3345,752.6251,694.0171,675.9463,696.9475,622.2039,657.8754,578.8314,733.5775,3.75,0.45,88,66
2018-06-18 19:09,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1100.8547,1323.0769,581.685,655.9218,647.6288,752.6251,723.8095,954.3345,752.6251,694.0171,675.9463,696.9475,622.2039,657.8754,578.8314,733.5775,3.74,0.45,86,67
2018-06-18 19:14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1100.8547,1323.0769,581.685,655.9218,647.6288,752.6251,723.8095,954.3345,752.6251,694.0171,675.9463,696.9475,622.2039,657.8754,578.8314,733.5775,3.74,0.44,85,66
2018-06-18 19:19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1160.928,1181.9292,579.7314,658.8522,651.0378,761.9048,722.8327,957.265,751.6483,685.7143,676.9231,696.9475,623.7642,663.7637,578.8314,709.6459,3.74,0.46,85,61
2018-06-18 19:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1160.928,1181.9292,579.7314,658.8522,651.0378,761.9048,722.8327,957.265,751.6483,685.7143,676.9231,689.6215,623.7642,663.7637,573.9473,709.6459,3.52,0.57,87,63
